"","boot","coef_main","coef_interact","aic","adj_r2"
"234",234,0.00715839486593144,-0.000457040275791156,-17962.8105676795,0.216345117131884
"235",235,0.010899027425137,-0.000851212478083595,-9852.68868644228,0.165994987107977
"236",236,0.00625523887403257,-0.000527319682319428,-18251.2267594858,0.192855759823702
"237",237,0.00962032092600291,-0.000711387517965563,-13278.281243471,0.185425700199614
"238",238,0.00659778349482125,-0.000412788659157242,-10777.0638639343,0.17754421662072
"239",239,0.00781850936427352,-0.000443912460328408,-12610.4057118906,0.166721929361345
"240",240,0.00915942104818299,-0.000730146711116808,-21703.267577623,0.215883697977926
"241",241,0.00804866556017423,-0.000625584964289601,-11118.2861927015,0.164386427248845
"242",242,0.00851600403203773,-0.000605249668391434,-10372.8496821633,0.170638129975027
"243",243,0.00726214559036971,-0.000555839201242064,-16574.1747927768,0.195139562356034
"244",244,0.00793320692505656,-0.000588591814021864,-14879.774547294,0.185698140014579
"245",245,0.00943916750050878,-0.000692023922945359,-17004.7164033762,0.201742676460098
"246",246,0.0106146303490138,-0.000816172367957311,-11372.2767917692,0.180221880211274
"247",247,0.00848572496713004,-0.000568855900220275,-8354.2907966344,0.167770176453905
"248",248,0.0115569092004425,-0.000889823093708217,-14172.8120698342,0.172405946364042
"249",249,0.00806432339029145,-0.000586107228229386,-10118.6471415613,0.161424518389278
"250",250,0.0104362944367794,-0.00092243704830167,-16120.0470979598,0.191110875890483
"251",251,0.00905009509745588,-0.000738146770312761,-15866.9193657525,0.201973017088279
"252",252,0.0101667792341822,-0.000749600394428261,-10569.0650996807,0.199721634024857
"253",253,0.00690691520898231,-0.000393927403007641,-8610.38749656177,0.15217854901804
"254",254,0.00769402345725704,-0.000524184510991919,-18209.8676329887,0.173624234315427
"255",255,0.0118864766082863,-0.000878329787870646,-6819.51889651787,0.146932183936501
"256",256,0.0084919929175047,-0.000604317357873979,-15524.2275575225,0.174485102696224
"257",257,0.00479041377898035,-0.000211866569126913,-11095.7745894269,0.167566343695275
"258",258,0.00980751129525877,-0.000746352962105309,-15260.7343674876,0.207238695953248
"259",259,0.00740326949591549,-0.000574533562623687,-15499.4447559259,0.173294925336248
"260",260,0.00802457744556001,-0.000727087805677322,-9193.91203325957,0.179451932591149
"261",261,0.00860802183832786,-0.000565013543096551,-10613.7496249522,0.161892901522403
"262",262,0.00780792407909441,-0.000710287634666131,-13895.4891432171,0.198863071080749
"263",263,0.00605831165745054,-0.000419420643505263,-19323.5774818754,0.211898107872613
