,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14135,CUB.15_1,2003,CUB,3099.7989635684844,1956.8547814994217
14136,CUB.15_1,2004,CUB,3253.1074196112104,1973.3720647453408
14137,CUB.15_1,2005,CUB,3362.7800170577075,2025.0883623997581
14138,CUB.15_1,2006,CUB,4086.350286590429,2689.8458846452336
14139,CUB.15_1,2007,CUB,4382.349728825822,2711.235662648212
14140,CUB.15_1,2008,CUB,4797.592793981893,2743.665989662855
14141,CUB.15_1,2009,CUB,5089.286861971744,3108.20911190876
14142,CUB.15_1,2010,CUB,5293.37693470781,3196.3664781688713
14143,CUB.15_1,2011,CUB,5707.490913002582,3404.643655384872
14144,CUB.15_1,2012,CUB,5606.643307152081,3311.63538334059
14145,CUB.15_1,2013,CUB,6131.921453447685,4025.727375958139
14146,CUB.16_1,1992,CUB,2335.8896615133,1403.3157474747998
14147,CUB.16_1,1993,CUB,2364.4866101603925,1374.8500423402147
14148,CUB.16_1,1994,CUB,2992.1030734163933,1724.7079679893761
14149,CUB.16_1,1995,CUB,3170.6616421038175,1886.1845613467938
14150,CUB.16_1,1996,CUB,2525.8260844408933,1541.5075046103484
14151,CUB.16_1,1997,CUB,2402.8916347204076,1491.0682276549867
14152,CUB.16_1,1998,CUB,2542.9096244238794,1478.1769690375588
14153,CUB.16_1,1999,CUB,2798.079381479927,1749.9368294905494
14154,CUB.16_1,2000,CUB,2922.7320063165675,1748.3558856061134
14155,CUB.16_1,2001,CUB,2985.975396174944,1870.6574808294306
14156,CUB.16_1,2002,CUB,3053.9065037583437,1814.567520447282
14157,CUB.16_1,2003,CUB,3051.4606355656438,1805.0311504477002
14158,CUB.16_1,2004,CUB,3132.5826292987513,1813.050272810426
14159,CUB.16_1,2005,CUB,3580.490095772383,2222.296177849278
14160,CUB.16_1,2006,CUB,4197.147962968087,2654.8594509447416
14161,CUB.16_1,2007,CUB,4498.613169717573,2716.4262034490903
14162,CUB.16_1,2008,CUB,4628.184471592053,2852.0989997228553
14163,CUB.16_1,2009,CUB,4545.085609342235,2635.8305268445774
14164,CUB.16_1,2010,CUB,5304.503934019225,3612.896790264967
14165,CUB.16_1,2011,CUB,5338.308730087168,3168.1489834236904
